Freq,;Column1;Column2
7,31341E+18;1,80558278803778e+001;-1,62418135676292e+002
7,48376E+18;1,80564912348988e+001;-1,62829582102934e+002
7,65808E+18;1,80570900199463e+001;-1,63230941555393e+002
7,83646E+18;1,80576301834723e+001;-1,63622488588079e+002
8,019E+18;1,80581171396614e+001;-1,64004488874964e+002
8,20578E+18;1,80585558169126e+001;-1,64377199537245e+002
8,39692E+18;1,80589507003203e+001;-1,64740869462868e+002
8,59251E+18;1,80593058711469e+001;-1,65095739636821e+002
8,79265E+18;1,80596250422703e+001;-1,65442043417881e+002
8,99746E+18;1,80599115910953e+001;-1,65780006856454e+002
9,20704E+18;1,80601685887745e+001;-1,66109848952849e+002
9,4215E+18;1,80603988282511e+001;-1,66431781934041e+002
9,64095E+18;1,80606048481632e+001;-1,66746011502558e+002
9,86552E+18;1,80607889560030e+001;-1,67052737092932e+002
1,00953E+19;1,80609532488502e+001;-1,67352152102239e+002
1,03305E+19;1,80610996316115e+001;-1,67644444106877e+002
1,05711E+19;1,80612298347220e+001;-1,67929795087941e+002
1,08173E+19;1,80613454294177e+001;-1,68208381641338e+002
1,10693E+19;1,80614478424328e+001;-1,68480375161185e+002
1,13271E+19;1,80615383684743e+001;-1,68745942044505e+002
1,1591E+19;1,80616181825750e+001;-1,69005243858677e+002
1,1861E+19;1,80616883505760e+001;-1,69258437522665e+002
1,21372E+19;1,80617498390315e+001;-1,69505675471896e+002
1,242E+19;1,80618035239942e+001;-1,69747105814977e+002
1,27093E+19;1,80618501998567e+001;-1,69982872482212e+002
1,30053E+19;1,80618905859675e+001;-1,70213115375197e+002
1,33082E+19;1,80619253339309e+001;-1,70437970504121e+002
1,36182E+19;1,80619550336095e+001;-1,70657570123062e+002
1,39354E+19;1,80619802186690e+001;-1,70872042852385e+002
1,426E+19;1,80620013718689e+001;-1,71081513803493e+002
1,45922E+19;1,80620189297404e+001;-1,71286104693489e+002
1,49321E+19;1,80620332865522e+001;-1,71485933962907e+002
1,52799E+19;1,80620447985291e+001;-1,71681116872718e+002
1,56358E+19;1,80620537871693e+001;-1,71871765615331e+002
1,6E+19;1,80620605424434e+001;-1,72057989411316e+002
1,63727E+19;1,80620653257413e+001;-1,72239894603059e+002
1,67541E+19;1,80620683726088e+001;-1,72417584743235e+002
1,71443E+19;1,80620698950653e+001;-1,72591160687083e+002
1,75437E+19;1,80620700837772e+001;-1,72760720668837e+002
1,79523E+19;1,80620691100182e+001;-1,72926360392408e+002
1,83705E+19;1,80620671277516e+001;-1,73088173095638e+002
1,87984E+19;1,80620642749532e+001;-1,73246249635967e+002
1,92362E+19;1,80620606751623e+001;-1,73400678554860e+002
1,96843E+19;1,80620564390934e+001;-1,73551546148756e+002
2,01428E+19;1,80620516656568e+001;-1,73698936534034e+002
